fecha,precio,moving_average
2015-07-06,101.610000610352,103.21649971008303
2015-07-07,101.23999786377,103.19699974060056
2015-07-08,100.269996643066,103.18949966430662
2015-07-09,100.889999389648,103.25599975585938
2015-07-10,103.160003662109,103.24149971008303
2015-07-13,103.75,103.11949958801274
2015-07-14,104.379997253418,103.09949951171878
2015-07-15,104.639999389648,102.99149971008305
2015-07-16,105.279998779297,102.83099975585942
2015-07-17,104.779998779297,102.62649993896488
2015-07-20,105.860000610352,102.47249984741214
2015-07-21,105.940002441406,102.31749992370604
2015-07-22,106.389999389648,102.14799995422364
2015-07-23,106.5,101.95699996948242
2015-07-24,105.580001831055,101.64700012207032
2015-07-27,99.5899963378906,101.19200019836425
2015-07-28,98.4000015258789,100.8430004119873
2015-07-29,101.480003356934,100.58250045776367
2015-07-30,102.839996337891,100.32200012207029
2015-07-31,101.75,100.13450012207028
2015-08-03,101.220001220703,100.01949996948238
2015-08-04,101.089996337891,99.8079998016357
2015-08-05,101.599998474121,99.39199981689448
2015-08-06,100.599998474121,98.9950000762939
2015-08-07,100.720001220703,98.65200004577632
2015-08-10,103.349998474121,98.27499999999996
2015-08-11,102.220001220703,97.91550025939938
2015-08-12,101.430000305176,97.46000022888181
2015-08-13,101.190002441406,97.06550025939937
2015-08-14,101.699996948242,96.73450012207029
2015-08-17,102.76000213623,96.28900032043455
2015-08-18,102.550003051758,95.896000289917
2015-08-19,102.569999694824,95.50150032043457
2015-08-20,100.300003051758,95.07600021362305
2015-08-21,96.4800033569336,94.67200012207032
2015-08-24,92.6100006103516,94.48299980163574
2015-08-25,93.1900024414062,94.41449966430665
2015-08-26,96.2699966430664,94.31149940490722
2015-08-27,99.0899963378906,93.95799942016602
2015-08-28,99.4499969482422,93.4604995727539
2015-08-31,96.9899978637695,92.76449966430664
2015-09-01,92.7699966430664,92.18499984741212
2015-09-02,93.6600036621094,91.87150001525879
2015-09-03,93.7399978637695,91.60799980163574
2015-09-04,93.1800003051758,91.38699989318847
2015-09-08,96.1600036621094,91.24749984741212
2015-09-09,93.1100006103516,90.8974998474121
2015-09-10,93.5400009155273,90.6875
2015-09-11,94.5699996948242,90.48950004577637
2015-09-14,92.7900009155273,90.24799995422363
2015-09-15,94.9000015258789,90.12000007629395
2015-09-16,94.6600036621094,89.88650016784668
2015-09-17,94.0599975585938,89.69949989318847
2015-09-18,92.2200012207031,89.65149993896485
2015-09-21,92.6999969482422,89.67299995422363
2015-09-22,91.2399978637695,89.69099998474121
2015-09-23,91.129997253418,89.78050003051757
2015-09-24,89.1999969482422,89.821000289917
2015-09-25,89.1399993896484,90.01900062561035
2015-09-28,85.5299987792969,90.33150062561035
2015-09-29,85.4000015258789,90.79850082397459
2015-09-30,86.5,91.22600059509277
2015-10-01,88.3899993896484,91.60000076293946
2015-10-02,89.3199996948242,91.89350090026855
2015-10-05,90.3899993896484,92.05950088500977
2015-10-06,89.1600036621094,92.15250091552734
2015-10-07,88.9100036621094,92.5800006866455
2015-10-08,89.5800018310547,92.99950065612794
2015-10-09,89.7399978637695,93.40000038146972
2015-10-12,90.2300033569336,93.84650039672852
2015-10-13,90.2300033569336,94.14850006103515
2015-10-14,90.9199981689453,94.44599990844726
2015-10-15,93.0999984741211,94.74900016784669
2015-10-16,92.6500015258789,94.87800025939941
2015-10-19,93.0599975585938,94.98050003051758
2015-10-20,93.0299987792969,95.09250030517578
2015-10-21,91.9400024414062,95.20100021362303
2015-10-22,93.1600036621094,95.39150009155273
2015-10-23,95.3899993896484,95.5529998779297
2015-10-26,94.870002746582,95.62799987792968
2015-10-27,93.9499969482422,95.68399963378906
2015-10-28,93.9800033569336,95.83049964904785
2015-10-29,94.2600021362305,95.97549934387207
2015-10-30,92.6399993896484,96.1049991607666
2015-11-02,92.25,96.29649925231934
2015-11-03,97.7099990844727,96.5574993133545
2015-11-04,97.3000030517578,96.54299926757812
2015-11-05,97.5899963378906,96.46549911499024
2015-11-06,98.6699981689453,96.50249938964843
2015-11-09,96.2699966430664,96.4199993133545
2015-11-10,96.1800003051758,96.3984992980957
2015-11-11,96.9800033569336,96.31199913024902
2015-11-12,95.6800003051758,96.21599884033203
2015-11-13,94.6999969482422,96.0654987335205
2015-11-16,95.3000030517578,96.05099906921386
2015-11-17,95.1999969482422,96.04199905395507
2015-11-18,95.75,96.10799903869629
2015-11-19,96.3899993896484,96.0864990234375
2015-11-20,96.8899993896484,95.95999908447266
2015-11-23,95.9899978637695,95.87349929809571
2015-11-24,96.879997253418,95.86899948120117
2015-11-25,96.879997253418,95.92399978637695
2015-11-27,96.8499984741211,95.95449981689453
2015-11-30,96.4700012207031,95.98549995422363
2015-12-01,97.4700012207031,96.16199989318848
2015-12-02,97.4199981689453,96.2814998626709
2015-12-03,95.75,96.33950004577636
2015-12-04,98.3300018310547,0.0
2015-12-07,97.0199966430664,0.0
2015-12-08,95.8399963378906,0.0
2015-12-09,94.4499969482422,0.0
2015-12-10,95.0599975585938,0.0
2015-12-11,92.6699981689453,0.0
2015-12-14,94.4100036621094,0.0
2015-12-15,95.120002746582,0.0
2015-12-16,96.5199966430664,0.0
2015-12-17,95.3199996948242,0.0
2015-12-18,93.8600006103516,0.0
2015-12-21,95.1600036621094,0.0
2015-12-22,95.9000015258789,0.0
2015-12-23,97.9800033569336,0.0
2015-12-24,97.4899978637695,0.0
2015-12-28,97.4700012207031,0.0
2015-12-29,100.0,0.0
2015-12-30,99.8600006103516,0.0
2015-12-31,98.5800018310547,0.0


